ID,Label,Device A,Termination A,Termination A Type,Termination B,Termination B Type,Device B,Type,Status,Color,Location A,Location B,Rack A,Rack B
1,SPINE-PEER-01,cr1-spine01,Ethernet1/53,dcim.interface,Ethernet1/53,dcim.interface,cr1-spine02,DAC-100G,Connected,#9c27b0,DC1-ROW-A,DC1-ROW-A,CORE-RACK-01,CORE-RACK-01
2,SPINE-PEER-02,cr1-spine01,Ethernet1/54,dcim.interface,Ethernet1/54,dcim.interface,cr1-spine02,DAC-100G,Connected,#9c27b0,DC1-ROW-A,DC1-ROW-A,CORE-RACK-01,CORE-RACK-01
3,UPLINK-sr01-leaf01-cr1-spine01-L1,sr01-leaf01,Ethernet1/49,dcim.interface,Ethernet1/1,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
4,UPLINK-sr01-leaf01-cr1-spine01-L2,sr01-leaf01,Ethernet1/51,dcim.interface,Ethernet1/2,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
5,UPLINK-sr01-leaf01-cr1-spine02-L1,sr01-leaf01,Ethernet1/49,dcim.interface,Ethernet1/1,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
6,UPLINK-sr01-leaf01-cr1-spine02-L2,sr01-leaf01,Ethernet1/51,dcim.interface,Ethernet1/2,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
7,UPLINK-sr01-leaf02-cr1-spine01-L1,sr01-leaf02,Ethernet1/51,dcim.interface,Ethernet1/3,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
8,UPLINK-sr01-leaf02-cr1-spine01-L2,sr01-leaf02,Ethernet1/53,dcim.interface,Ethernet1/4,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
9,UPLINK-sr01-leaf02-cr1-spine02-L1,sr01-leaf02,Ethernet1/51,dcim.interface,Ethernet1/3,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
10,UPLINK-sr01-leaf02-cr1-spine02-L2,sr01-leaf02,Ethernet1/53,dcim.interface,Ethernet1/4,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-01,CORE-RACK-01
11,UPLINK-sr02-leaf01-cr1-spine01-L1,sr02-leaf01,Ethernet1/49,dcim.interface,Ethernet1/5,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
12,UPLINK-sr02-leaf01-cr1-spine01-L2,sr02-leaf01,Ethernet1/51,dcim.interface,Ethernet1/6,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
13,UPLINK-sr02-leaf01-cr1-spine02-L1,sr02-leaf01,Ethernet1/49,dcim.interface,Ethernet1/5,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
14,UPLINK-sr02-leaf01-cr1-spine02-L2,sr02-leaf01,Ethernet1/51,dcim.interface,Ethernet1/6,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
15,UPLINK-sr02-leaf02-cr1-spine01-L1,sr02-leaf02,Ethernet1/51,dcim.interface,Ethernet1/7,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
16,UPLINK-sr02-leaf02-cr1-spine01-L2,sr02-leaf02,Ethernet1/53,dcim.interface,Ethernet1/8,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
17,UPLINK-sr02-leaf02-cr1-spine02-L1,sr02-leaf02,Ethernet1/51,dcim.interface,Ethernet1/7,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
18,UPLINK-sr02-leaf02-cr1-spine02-L2,sr02-leaf02,Ethernet1/53,dcim.interface,Ethernet1/8,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-B,DC1-ROW-A,SERVER-RACK-02,CORE-RACK-01
19,UPLINK-sr03-leaf01-cr1-spine01-L1,sr03-leaf01,Ethernet1/49,dcim.interface,Ethernet1/9,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
20,UPLINK-sr03-leaf01-cr1-spine01-L2,sr03-leaf01,Ethernet1/51,dcim.interface,Ethernet1/10,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
21,UPLINK-sr03-leaf01-cr1-spine02-L1,sr03-leaf01,Ethernet1/49,dcim.interface,Ethernet1/9,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
22,UPLINK-sr03-leaf01-cr1-spine02-L2,sr03-leaf01,Ethernet1/51,dcim.interface,Ethernet1/10,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
23,UPLINK-sr03-leaf02-cr1-spine01-L1,sr03-leaf02,Ethernet1/51,dcim.interface,Ethernet1/11,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
24,UPLINK-sr03-leaf02-cr1-spine01-L2,sr03-leaf02,Ethernet1/53,dcim.interface,Ethernet1/12,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
25,UPLINK-sr03-leaf02-cr1-spine02-L1,sr03-leaf02,Ethernet1/51,dcim.interface,Ethernet1/11,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
26,UPLINK-sr03-leaf02-cr1-spine02-L2,sr03-leaf02,Ethernet1/53,dcim.interface,Ethernet1/12,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-03,CORE-RACK-01
27,UPLINK-sr04-leaf01-cr1-spine01-L1,sr04-leaf01,Ethernet1/49,dcim.interface,Ethernet1/13,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
